الاسم,العنوان,عنوان البحث,التصنيف,الحيّ,خط_العرض,خط_الطول
مدارس التربية العصرية العالمية Modern Education INT School,مروان بن سعيد، السويدي، الرياض 12776، المملكة العربية السعودية,  السويدي  ف  الرياض  ف  السعودية,مدرسة,السويدي,24.7847184,46.6999737
مدارس براعم السعودية,7469 الخليفة الناصر لدين الله، 4471، السويدي الغربي، الرياض 12993، المملكة العربية السعودية,  السويدي  ف  الرياض  ف  السعودية,مدرسة,السويدي,24.7847184,46.6999737
مدارس الرشد الأهلية ( قسم البنات ),2213 شمس الدين بن خلكان، السويدي الرياض 12795 7237 شمس الدين بن خلكان، 7237، السويدي، الرياض 12795، المملكة العربية السعودية,  السويدي  ف  الرياض  ف  السعودية,مدرسة,السويدي,24.7847184,46.6999737
مدرسه متوسطة حي السويدي,HMP5+7RC، السويدي، الرياض 12788، المملكة العربية السعودية,  السويدي  ف  الرياض  ف  السعودية,مدرسة,السويدي,24.7847184,46.6999737
عالم منتسوري روضة تمهيدي حضانة,7358 كعب بن زهير، السويدي، الرياض 12788، المملكة العربية السعودية,  السويدي  ف  الرياض  ف  السعودية,مدرسة,السويدي,24.7847184,46.6999737
مدارس أفاق البديعة الاهلية القسم الابتدائي بنين,HJG5+PR8، السويدي الغربي، الرياض 12992، المملكة العربية السعودية,  السويدي  ف  الرياض  ف  السعودية,مدرسة,السويدي,24.7847184,46.6999737
مجمع مدارس التوحيد الأهلية جميع المراحل,HJCM+WVQ، شارع حمزة بن عبدالمطلب، السويدي الغربي، الرياض 12994، المملكة العربية السعودية,  السويدي  ف  الرياض  ف  السعودية,مدرسة,السويدي,24.7847184,46.6999737
مدارس التقوى الاهلية بنين/بنات,حطين، الرياض 13518، المملكة العربية السعودية,  السويدي  ف  الرياض  ف  السعودية,مدرسة,السويدي,24.7847184,46.6999737
ابتدائية الثغر النموذجية الأهلية,اسحاق بن عبدالرحمن، السويدي الغربي، الرياض 12994، المملكة العربية السعودية,  السويدي  ف  الرياض  ف  السعودية,مدرسة,السويدي,24.7847184,46.6999737
مدارس رواد التربية,"3373 معاوية بن ابي سفيان، ظهرة البديعة, 8648، الرياض 12782، المملكة العربية السعودية",  السويدي  ف  الرياض  ف  السعودية,مدرسة,السويدي,24.6264467,46.710918799999995
مدارس الرقي الاهلية - المرحلة الثانوية بنين,لبيد بن ربيعة، الزهرة، الرياض 12986، المملكة العربية السعودية,  السويدي  ف  الرياض  ف  السعودية,مدرسة,السويدي,24.6264467,46.710918799999995
مدارس نوابغ الرياض العالمية,طريق المدينة المنورة، العريجاء الغربية، الرياض 14921، المملكة العربية السعودية,  السويدي  ف  الرياض  ف  السعودية,مدرسة,السويدي,24.6264467,46.710918799999995
مدارس الشاملة العالمية,شارع سماحة الشيخ عبدالعزيز بن باز، البديعة، الرياض 12748، المملكة العربية السعودية,  السويدي  ف  الرياض  ف  السعودية,مدرسة,السويدي,24.6264467,46.710918799999995
مدارس قرطبة المتقدمة الأهلية,GMGQ+JVV، بدر، الرياض 14725، المملكة العربية السعودية,  السويدي  ف  الرياض  ف  السعودية,مدرسة,السويدي,24.8018714,46.7476467
أكاديمية الجزيرة العالمية,4092 محمد ابو نهيه، السويدي، الرياض 12787، المملكة العربية السعودية,  السويدي  ف  الرياض  ف  السعودية,معهد تكنولوجيا,السويدي,24.8018714,46.7476467
مدارس شروق الشمس العالمية,6611 وادي نعام، البديعة، الرياض 12748، المملكة العربية السعودية,  السويدي  ف  الرياض  ف  السعودية,مدرسة,السويدي,24.8018714,46.7476467
مجمع آفاق السويدي الأهلية,بديع الزمان الهمذاني، الزهرة، الرياض 12983، المملكة العربية السعودية,  السويدي  ف  الرياض  ف  السعودية,مدرسة خاصة,السويدي,24.7847184,46.6999737
مدارس التقوى الأهلية,HMXV+G8J، السويدي، الرياض 12791، المملكة العربية السعودية,  السويدي  ف  الرياض  ف  السعودية,مدرسة ابتدائية,السويدي,24.7847184,46.6999737
مدارس روضة القادة الاهلية,"4094 سعد بن عتيق, As Suwaidi, 7894، الرياض 12787، المملكة العربية السعودية",  السويدي  ف  الرياض  ف  السعودية,مدرسة خاصة,السويدي,24.7847184,46.6999737
مدارس الثغر بنين مدارس التوحيد بنات جميع المراحل,السويدي الغربي، الرياض 12994، المملكة العربية السعودية,  السويدي  ف  الرياض  ف  السعودية,مدرسة تعليمية متخصصة,السويدي,24.7847184,46.6999737
مدرسة المميزون,"RISA3942، 3942 الشيخ صالح بن عبدالعزيز بن عبدالرحمن، 7477 حي السويدي, الغربي، الرياض 12991، المملكة العربية السعودية",  السويدي  ف  الرياض  ف  السعودية,المرحلة الابتدائية,السويدي,24.7847184,46.6999737
مدرسة ثانوية بدر,5414 السويدي العام، صياح، الرياض 12774، المملكة العربية السعودية,  السويدي  ف  الرياض  ف  السعودية,مدرسة ثانوية,السويدي,24.6264467,46.710918799999995
مجمع مدارس التقوى - بنين - بنات,2920 ابن الملح، شبرا، الرياض 12799، المملكة العربية السعودية,  السويدي  ف  الرياض  ف  السعودية,مدرسة إعدادية,السويدي,24.6264467,46.710918799999995
براعم الندوة الأهلية,2902 الصلاح، السويدي، الرياض 12794، المملكة العربية السعودية,  السويدي  ف  الرياض  ف  السعودية,المركز التعليمي,السويدي,24.6264467,46.710918799999995
مدرسة تعليم قيادة السيارات بجنوب الرياض,HMPX+WP5، وادي زارود، الدريهمية، الرياض 12796، المملكة العربية السعودية,  السويدي  ف  الرياض  ف  السعودية,مدرسة تعليم القيادة,السويدي,24.6264467,46.710918799999995
مدارس الشارقة الأهلية | بنين - بنات ( فرع الحزم ),4202 المداهيش، الحزم، 7385، الرياض 14964، المملكة العربية السعودية,  السويدي  ف  الرياض  ف  السعودية,مدرسة خاصة,السويدي,24.6264467,46.710918799999995
مدرسة عمرو بن شعيب المتوسطة,"Unnamed Road, السويدي الغربي، الرياض 12991، المملكة العربية السعودية",  السويدي  ف  الرياض  ف  السعودية,مدرسة إعدادية,السويدي,24.8018714,46.7476467
