الاسم,التقييم,عدد التقييمات,العنوان,التصنيف,الحي,خط_العرض,خط_الطول
اسواق ومخابز جوهره الياسمين للمواد الغذائيه,3.9,190,وادي هجر،، الرياض 13524، المملكة العربية السعودية,سوبرماركت,الملقا,24.8235594,46.6463198
تموينات سلة الاثر للمواد الغذائية,3.9,177,الملقا،، الرياض 13521، المملكة العربية السعودية,سوبرماركت,الملقا,24.8235594,46.6463198
اسواق الشموخ الذهبي للتجارة,3.7,63,RJ88+C6H، الملقا، الرياض 13524، المملكة العربية السعودية,سوبرماركت,الملقا,24.8235594,46.6463198
تموينات زاوية التعاون Zawyat AlTawoun Supper Market,3.8,30,وادي نوار،، الملقا، الرياض 13521، المملكة العربية السعودية,سوبرماركت,الملقا,24.8128734,46.647877900000005
اسواق ركن كنان للمواد الغذائية,٤٫٠,163,2477-2583 شارع السليمانية، الرياض 13515، الرياض 13515، المملكة العربية السعودية,سوبرماركت,الملقا,24.8313095,46.7249032
ميد,3.5,155,شارع موسى بن نصير، العليا، الرياض 12331، المملكة العربية السعودية,سوپر مارکت,العليا,24.715850099999997,46.7394112
اسواق الحربي,٣٫٩,"2,890",طريق العروبة، السليمانية، الرياض 12245، المملكة العربية السعودية,سوبرماركت,العليا,24.764989699999997,46.7394112
شركة رياحين دمشق - فرع السليمانية,٤٫٢,389,المهندس مساعد العنقري، العليا، الرياض 12242، المملكة العربية السعودية,سوبرماركت,العليا,24.764989699999997,46.7394112
اسواق ريف الشفاء المركزية,4.2,327,المثنى بن حارثة، الشفا، الرياض 14713، المملكة العربية السعودية,سوبرماركت,الشفا,24.674413899999998,46.7963222
أسواق الثلاجة العالمية النخبة,3.6,591,الترمذي،، الشفا، الرياض 14712، المملكة العربية السعودية,سوبرماركت,الشفا,24.674413899999998,46.7963222
تموينات واسواق ربوع الشفا,3.7,72,3531 بشر بن صفوان، الشفا، الرياض 14712 7903، المملكة العربية السعودية,سوبرماركت,الشفا,24.674413899999998,46.7963222
هايبر الوفاء,4.1,929,"Alreem plaza Al Sulai, الصفا، الرياض 12856، المملكة العربية السعودية",سوبرماركت,الشفا,24.674413899999998,46.7963222
بقالة عروض التلال,3.3,12,الاعتدال، حي التلال، الرياض الشفا، الرياض 14721، المملكة العربية السعودية,سوبرماركت,الشفا,24.674413899999998,46.7963222
محامص وحلويات ذوق العطار,٤٫٧,50,المثنى بن حارثة، الشفا، الرياض 14713، المملكة العربية السعودية,سوبرماركت,الشفا,24.6710772,46.741997399999995
كارفور,4.1,"10,222","Al Qasr Mall, As Suwaidi Al Am, Suwaidi, الرياض 12791، المملكة العربية السعودية",سوبرماركت,السويدي,24.607278,46.7464976
اسواق ركن الجود,3.9,122,RBSB5260، السويدي العام، 5260، الرياض 12786، المملكة العربية السعودية,سوبرماركت,السويدي,24.607278,46.7464976
A Market,4.4,104,GGX3+GM، RKQB2801، 2801 ممر يوسف السويدي، طويق، 6553، الرياض 14931، المملكة العربية السعودية,سوبرماركت,السويدي,24.607278,46.7464976
اسواق نمشة للمواد الغذائية المخفضة والحلويات المخفضة,3.4,49,3668 السويدي العام، السويدي، الرياض 12788 6179، المملكة العربية السعودية,سوبرماركت,السويدي,24.607278,46.7464976
بقالة السيف,4.1,48,7289 البلد الامين، السويدي، 4264، الرياض 12787، المملكة العربية السعودية,سوبرماركت,السويدي,24.607278,46.7464976
بقالة دانة الخيرات,4.2,5,HJCR+9MC، السويدي، الرياض 12987، المملكة العربية السعودية,سوبرماركت,السويدي,24.607278,46.7464976
Al Harbi Stores أسواق الحربي المركزية,٣٫٩,"1,921",عائشة بنت أبي بكر، ظهرة البديعة، الرياض 12784، المملكة العربية السعودية,سوبرماركت,السويدي,24.6089943,46.7453413
أسواق الرجبة للمواد الغذائيه,٣٫٨,206,3499 الشيخ اسحاق بن عبدالرحمن بن حسن، الزهرة، الرياض 12987 7307، المملكة العربية السعودية,سوبرماركت,السويدي,24.6089943,46.7453413
أسواق فارميز,٤٫٣,"1,040",الرابية، هجرة لبن، الرياض 12933، المملكة العربية السعودية,سوبرماركت,السويدي,24.775619199999998,46.8452251
